iata_code,name,city,country_name,latitude,longitude,source
MSG,Matsaile,Matsaile,Lesotho,-29.7263,28.7701,Brighter Planet
ILB,Ilha Solteira,Ilha Solteira,Brazil,-20.3979,-51.3583,Brighter Planet
SJS,San Jose,San Jose,"Bolivia, Plurinational State Of",-17.8309,-60.7435,Brighter Planet
KMB,Koinambe,Koinambe,Papua New Guinea,-5.485,144.599,Brighter Planet
KCF,Kadanwari,Kadanwari,Pakistan,27.2064,69.1564,Brighter Planet
OYA,Goya,Goya,Argentina,-29.145,-59.263,Brighter Planet
AMO,Mao,Mao,Chad,8.248,16.663,Brighter Planet
BTZ,Bursa,Bursa,Turkey,40.234,29.01,Brighter Planet
NBC,Naberevnye Chelny,Naberevnye Chelny,Russian Federation,55.564,52.103,Brighter Planet
QUG,Chichester/Goodwood,Chichester,United Kingdom,50.859,-0.759,Brighter Planet
