iso_3166_code,flight_route_inefficiency_factor,source,source_detail,source_url
AD,1.1,Kettunen et al. (2005),"Kettunen, T, J Hustache, I Fuller, D Howell, J Bonn, and D Knorr (2005) Flight Efficiency Studies in Europe and the United States",http://www.atmseminar.org/seminarContent/seminar6/papers/p_055_MPM.pdf
AT,1.1,Kettunen et al. (2005),"Kettunen, T, J Hustache, I Fuller, D Howell, J Bonn, and D Knorr (2005) Flight Efficiency Studies in Europe and the United States",http://www.atmseminar.org/seminarContent/seminar6/papers/p_055_MPM.pdf
BE,1.1,Kettunen et al. (2005),"Kettunen, T, J Hustache, I Fuller, D Howell, J Bonn, and D Knorr (2005) Flight Efficiency Studies in Europe and the United States",http://www.atmseminar.org/seminarContent/seminar6/papers/p_055_MPM.pdf
CH,1.1,Kettunen et al. (2005),"Kettunen, T, J Hustache, I Fuller, D Howell, J Bonn, and D Knorr (2005) Flight Efficiency Studies in Europe and the United States",http://www.atmseminar.org/seminarContent/seminar6/papers/p_055_MPM.pdf
DE,1.1,Kettunen et al. (2005),"Kettunen, T, J Hustache, I Fuller, D Howell, J Bonn, and D Knorr (2005) Flight Efficiency Studies in Europe and the United States",http://www.atmseminar.org/seminarContent/seminar6/papers/p_055_MPM.pdf
DK,1.1,Kettunen et al. (2005),"Kettunen, T, J Hustache, I Fuller, D Howell, J Bonn, and D Knorr (2005) Flight Efficiency Studies in Europe and the United States",http://www.atmseminar.org/seminarContent/seminar6/papers/p_055_MPM.pdf
FR,1.1,Kettunen et al. (2005),"Kettunen, T, J Hustache, I Fuller, D Howell, J Bonn, and D Knorr (2005) Flight Efficiency Studies in Europe and the United States",http://www.atmseminar.org/seminarContent/seminar6/papers/p_055_MPM.pdf
GB,1.1,Kettunen et al. (2005),"Kettunen, T, J Hustache, I Fuller, D Howell, J Bonn, and D Knorr (2005) Flight Efficiency Studies in Europe and the United States",http://www.atmseminar.org/seminarContent/seminar6/papers/p_055_MPM.pdf
GG,1.1,Kettunen et al. (2005),"Kettunen, T, J Hustache, I Fuller, D Howell, J Bonn, and D Knorr (2005) Flight Efficiency Studies in Europe and the United States",http://www.atmseminar.org/seminarContent/seminar6/papers/p_055_MPM.pdf
IE,1.1,Kettunen et al. (2005),"Kettunen, T, J Hustache, I Fuller, D Howell, J Bonn, and D Knorr (2005) Flight Efficiency Studies in Europe and the United States",http://www.atmseminar.org/seminarContent/seminar6/papers/p_055_MPM.pdf
IM,1.1,Kettunen et al. (2005),"Kettunen, T, J Hustache, I Fuller, D Howell, J Bonn, and D Knorr (2005) Flight Efficiency Studies in Europe and the United States",http://www.atmseminar.org/seminarContent/seminar6/papers/p_055_MPM.pdf
JE,1.1,Kettunen et al. (2005),"Kettunen, T, J Hustache, I Fuller, D Howell, J Bonn, and D Knorr (2005) Flight Efficiency Studies in Europe and the United States",http://www.atmseminar.org/seminarContent/seminar6/papers/p_055_MPM.pdf
LI,1.1,Kettunen et al. (2005),"Kettunen, T, J Hustache, I Fuller, D Howell, J Bonn, and D Knorr (2005) Flight Efficiency Studies in Europe and the United States",http://www.atmseminar.org/seminarContent/seminar6/papers/p_055_MPM.pdf
LU,1.1,Kettunen et al. (2005),"Kettunen, T, J Hustache, I Fuller, D Howell, J Bonn, and D Knorr (2005) Flight Efficiency Studies in Europe and the United States",http://www.atmseminar.org/seminarContent/seminar6/papers/p_055_MPM.pdf
MC,1.1,Kettunen et al. (2005),"Kettunen, T, J Hustache, I Fuller, D Howell, J Bonn, and D Knorr (2005) Flight Efficiency Studies in Europe and the United States",http://www.atmseminar.org/seminarContent/seminar6/papers/p_055_MPM.pdf
NL,1.1,Kettunen et al. (2005),"Kettunen, T, J Hustache, I Fuller, D Howell, J Bonn, and D Knorr (2005) Flight Efficiency Studies in Europe and the United States",http://www.atmseminar.org/seminarContent/seminar6/papers/p_055_MPM.pdf
US,1.07,Kettunen et al. (2005),"Kettunen, T, J Hustache, I Fuller, D Howell, J Bonn, and D Knorr (2005) Flight Efficiency Studies in Europe and the United States",http://www.atmseminar.org/seminarContent/seminar6/papers/p_055_MPM.pdf
