abbreviation,egrid_region_name,source,
AKGD,Alaska,Brighter Planet
AKMS,Alaska,Brighter Planet
ERCT,ERCOT,Brighter Planet
FRCC,Eastern,Brighter Planet
HIMS,Hawaii,Brighter Planet
HIOA,Hawaii,Brighter Planet
MROE,Eastern,Brighter Planet
MROW,Eastern,Brighter Planet
NYLI,Eastern,Brighter Planet
NEWE,Eastern,Brighter Planet
NYCW,Eastern,Brighter Planet
NYUP,Eastern,Brighter Planet
RFCE,Eastern,Brighter Planet
RFCM,Eastern,Brighter Planet
RFCW,Eastern,Brighter Planet
SRMW,Eastern,Brighter Planet
SRMV,Eastern,Brighter Planet
SRSO,Eastern,Brighter Planet
SRTV,Eastern,Brighter Planet
SRVC,Eastern,Brighter Planet
SPNO,Eastern,Brighter Planet
SPSO,Eastern,Brighter Planet
CAMX,Western,Brighter Planet
NWPP,Western,Brighter Planet
RMPA,Western,Brighter Planet
AZNM,Western,Brighter Planet
