country,heating_degree_days,cooling_degree_days,source
Afghanistan,2209,1049,WRI CAIT
Albania,1724,683,WRI CAIT
Algeria,1177,1154,WRI CAIT
Angola,42,1510,WRI CAIT
Argentina,1059,889,WRI CAIT
Armenia,3282,532,WRI CAIT
Australia,828,839,WRI CAIT
Austria,3446,173,WRI CAIT
Azerbaijan,2056,720,WRI CAIT
Bahamas,22,2521,WRI CAIT
Bangladesh,3,2820,WRI CAIT
Barbados,0,3270,WRI CAIT
Belarus,4299,88,WRI CAIT
Belgium,3009,102,WRI CAIT
Belize,0,2916,WRI CAIT
Benin,1,3532,WRI CAIT
Bolivia,2399,400,WRI CAIT
Bosnia & Herzegovina,2949,261,WRI CAIT
Botswana,360,1637,WRI CAIT
Brazil,118,2015,WRI CAIT
Brunei*,0,3516,WRI CAIT
Bulgaria,2624,430,WRI CAIT
Burkina Faso,1,3903,WRI CAIT
Burundi,0,1953,WRI CAIT
Cambodia,0,3323,WRI CAIT
Cameroon,0,2682,WRI CAIT
Canada,4493,171,WRI CAIT
Cape Verde,0,2299,WRI CAIT
Central African Republic,0,2560,WRI CAIT
Chad,0,3566,WRI CAIT
Chile,1613,225,WRI CAIT
China,2158,1046,WRI CAIT
Colombia,677,2119,WRI CAIT
Comoros,0,2715,WRI CAIT
Congo,0,2462,WRI CAIT
"Congo, Dem. Republic",6,1842,WRI CAIT
Cook Islands,0,2566,WRI CAIT
Costa Rica,1,1487,WRI CAIT
Cote d'Ivoire,0,2937,WRI CAIT
Croatia,2289,418,WRI CAIT
Cuba,8,2760,WRI CAIT
Cyprus,710,1091,WRI CAIT
Czech Republic,3569,108,WRI CAIT
Denmark,3621,40,WRI CAIT
Dominican Republic,0,3053,WRI CAIT
Ecuador,751,1343,WRI CAIT
Egypt,400,1836,WRI CAIT
El Salvador,0,2215,WRI CAIT
Eritrea,557,1230,WRI CAIT
Estonia,4605,38,WRI CAIT
Ethiopia,190,536,WRI CAIT
European Union (27),2746,273,WRI CAIT
Fiji,0,2595,WRI CAIT
Finland,5212,48,WRI CAIT
France,2478,241,WRI CAIT
Gabon,0,2669,WRI CAIT
Gambia,0,3603,WRI CAIT
Georgia,2216,589,WRI CAIT
Germany,3252,122,WRI CAIT
Ghana,0,2949,WRI CAIT
Greece,1269,923,WRI CAIT
Guatemala,174,839,WRI CAIT
Guinea,0,2674,WRI CAIT
Guinea-Bissau,0,3098,WRI CAIT
Guyana,0,3363,WRI CAIT
Haiti,0,3093,WRI CAIT
Honduras,2,2289,WRI CAIT
Hungary,3057,256,WRI CAIT
Iceland,5031,40,WRI CAIT
India,80,3120,WRI CAIT
Indonesia,0,3545,WRI CAIT
Iran,1813,1037,WRI CAIT
Iraq*,744,2444,WRI CAIT
Ireland,2977,19,WRI CAIT
Israel,756,1244,WRI CAIT
Italy,1838,600,WRI CAIT
Jamaica,0,3525,WRI CAIT
Japan,1901,896,WRI CAIT
Jordan,1173,1122,WRI CAIT
Kazakhstan,4575,481,WRI CAIT
Kenya,91,1265,WRI CAIT
Kiribati,0,3798,WRI CAIT
Korea (North),3389,493,WRI CAIT
Korea (South),2480,744,WRI CAIT
Kuwait,322,3166,WRI CAIT
Kyrgyzstan,3161,682,WRI CAIT
Laos,0,2833,WRI CAIT
Latvia,4237,58,WRI CAIT
Lebanon,1117,812,WRI CAIT
Liberia,0,2851,WRI CAIT
Libya,606,1670,WRI CAIT
Lithuania,4218,68,WRI CAIT
Luxembourg,3467,99,WRI CAIT
"Macedonia, FYR",2647,430,WRI CAIT
Madagascar,200,1607,WRI CAIT
Malawi,135,992,WRI CAIT
Malaysia,0,3411,WRI CAIT
Mali,2,4064,WRI CAIT
Malta,725,1043,WRI CAIT
Mauritania,4,3525,WRI CAIT
Mauritius,8,2148,WRI CAIT
Mexico,364,1560,WRI CAIT
Moldova,3317,325,WRI CAIT
Mongolia,6681,82,WRI CAIT
Morocco,772,910,WRI CAIT
Mozambique,21,2085,WRI CAIT
Myanmar,0,3180,WRI CAIT
Namibia,450,1242,WRI CAIT
Nauru,0,3599,WRI CAIT
Nepal,762,970,WRI CAIT
Netherlands,3035,68,WRI CAIT
New Zealand,1609,165,WRI CAIT
Nicaragua,0,3250,WRI CAIT
Niger,3,4033,WRI CAIT
Nigeria,0,3111,WRI CAIT
Niue,0,2463,WRI CAIT
Norway,4535,43,WRI CAIT
Oman,0,3657,WRI CAIT
Pakistan,831,2810,WRI CAIT
Palau,0,3498,WRI CAIT
Panama,0,3638,WRI CAIT
Papua New Guinea,1,3286,WRI CAIT
Paraguay,239,2197,WRI CAIT
Peru,285,1174,WRI CAIT
Philippines,2,3508,WRI CAIT
Poland,3719,100,WRI CAIT
Portugal,1367,345,WRI CAIT
Qatar,29,3374,WRI CAIT
Romania,3157,290,WRI CAIT
Russian Federation,5235,197,WRI CAIT
Saint Kitts & Nevis,1,3541,WRI CAIT
Samoa,0,3280,WRI CAIT
Sao Tome & Principe,0,2429,WRI CAIT
Saudi Arabia,311,3136,WRI CAIT
Senegal,1,3379,WRI CAIT
Serbia & Montenegro,2813,334,WRI CAIT
Seychelles,3,3460,WRI CAIT
Sierra Leone,0,986,WRI CAIT
Singapore,0,3261,WRI CAIT
Slovakia,3498,158,WRI CAIT
Slovenia,3290,189,WRI CAIT
Solomon Islands,0,3093,WRI CAIT
South Africa,630,824,WRI CAIT
Spain,1431,702,WRI CAIT
Sri Lanka,87,2943,WRI CAIT
Sudan,0,3486,WRI CAIT
Suriname,0,3252,WRI CAIT
Sweden,4375,45,WRI CAIT
Switzerland,3419,137,WRI CAIT
Syria,1388,1187,WRI CAIT
Taiwan*,231,2132,WRI CAIT
Tajikistan,2054,1203,WRI CAIT
Tanzania,2,2922,WRI CAIT
Thailand,1,3567,WRI CAIT
Togo,1,3318,WRI CAIT
Tonga,0,2190,WRI CAIT
Trinidad & Tobago,0,3316,WRI CAIT
Tunisia,892,1184,WRI CAIT
Turkey,2048,641,WRI CAIT
Turkmenistan,2218,1235,WRI CAIT
Uganda,0,1458,WRI CAIT
Ukraine,3752,224,WRI CAIT
United Arab Emirates,4,3294,WRI CAIT
United Kingdom,2810,66,WRI CAIT
United States of America,2159,882,WRI CAIT
Uruguay,1019,732,WRI CAIT
Uzbekistan,2251,1144,WRI CAIT
Vanuatu,1,2545,WRI CAIT
Venezuela,1,2381,WRI CAIT
Vietnam,81,3016,WRI CAIT
Yemen,0,3868,WRI CAIT
Zambia,105,1087,WRI CAIT
Zimbabwe,349,1010,WRI CAIT
